Property;Induced;Confidence;T;GoldStandard;Same;MoreSpecific;LessSpecific
militaryUnit;MilitaryPerson;10000;1.0;MilitaryPerson;1;0;0
militaryUnit;Agent;10000;1.0;MilitaryPerson;0;0;1
militaryUnit;Person;10000;1.0;MilitaryPerson;0;0;1
militaryUnit;MilitaryPerson;10000;0.9;MilitaryPerson;1;0;0
militaryUnit;Agent;10000;0.9;MilitaryPerson;0;0;1
militaryUnit;Person;10000;0.9;MilitaryPerson;0;0;1
militaryUnit;MilitaryPerson;10000;0.8;MilitaryPerson;1;0;0
militaryUnit;Agent;10000;0.8;MilitaryPerson;0;0;1
militaryUnit;Person;10000;0.8;MilitaryPerson;0;0;1
militaryUnit;MilitaryPerson;10000;0.7;MilitaryPerson;1;0;0
militaryUnit;Agent;10000;0.7;MilitaryPerson;0;0;1
militaryUnit;Person;10000;0.7;MilitaryPerson;0;0;1
militaryUnit;MilitaryPerson;10000;0.6;MilitaryPerson;1;0;0
militaryUnit;Agent;10000;0.6;MilitaryPerson;0;0;1
militaryUnit;Person;10000;0.6;MilitaryPerson;0;0;1
militaryUnit;MilitaryPerson;10000;0.5;MilitaryPerson;1;0;0
militaryUnit;Agent;10000;0.5;MilitaryPerson;0;0;1
militaryUnit;Person;10000;0.5;MilitaryPerson;0;0;1
militaryUnit;MilitaryPerson;10000;0.4;MilitaryPerson;1;0;0
militaryUnit;Agent;10000;0.4;MilitaryPerson;0;0;1
militaryUnit;Person;10000;0.4;MilitaryPerson;0;0;1
militaryUnit;MilitaryPerson;10000;0.3;MilitaryPerson;1;0;0
militaryUnit;Agent;10000;0.3;MilitaryPerson;0;0;1
militaryUnit;Person;10000;0.3;MilitaryPerson;0;0;1
militaryUnit;MilitaryPerson;10000;0.2;MilitaryPerson;1;0;0
militaryUnit;Agent;10000;0.2;MilitaryPerson;0;0;1
militaryUnit;Person;10000;0.2;MilitaryPerson;0;0;1
militaryUnit;MilitaryPerson;10000;0.1;MilitaryPerson;1;0;0
militaryUnit;Agent;10000;0.1;MilitaryPerson;0;0;1
militaryUnit;Person;10000;0.1;MilitaryPerson;0;0;1
composer;Work;10000;1.0;Work;1;0;0
composer;Work;10000;0.9;Work;1;0;0
composer;Work;10000;0.8;Work;1;0;0
composer;Work;10000;0.7;Work;1;0;0
composer;Work;10000;0.6;Work;1;0;0
composer;Work;10000;0.5;Work;1;0;0
